"sampling_code","day","sample_replicate","test","log_conc","loc","hr_harvest_testing","date_of_harvest","days_since_last_irrigation"
"0522_C","H","1","GN",3.86935963524373,"CA",30.25,"2022-05-26",0
"0522_C","H","2","GN",3.21661535496057,"CA",30.25,"2022-05-26",0
"0522_C","H","3","GN",3.89692759710184,"CA",30.25,"2022-05-26",0
"0522_C","H","1","PC",4.18446225916942,"CA",30.25,"2022-05-26",0
"0522_C","H","2","PC",3.83640411324896,"CA",30.25,"2022-05-26",0
"0522_C","H","3","PC",4.03634415707876,"CA",30.25,"2022-05-26",0
"0622_A","H","1","APC",5.26809209090907,"CA",28.6666666666667,"2022-06-06",2
"0622_A","H","2","APC",4.70900906816763,"CA",28.6666666666667,"2022-06-06",2
"0622_A","H","3","APC",4.5609512727037,"CA",28.6666666666667,"2022-06-06",2
"0622_A","H","1","GN",4.94032784199784,"CA",28.6666666666667,"2022-06-06",2
"0622_A","H","2","GN",3.82204858147622,"CA",28.6666666666667,"2022-06-06",2
"0622_A","H","3","GN",3.3928289433193,"CA",28.6666666666667,"2022-06-06",2
"0622_A","H","1","PC",5.38814190742539,"CA",28.6666666666667,"2022-06-06",2
"0622_A","H","2","PC",4.36265609371699,"CA",28.6666666666667,"2022-06-06",2
"0622_A","H","3","PC",4.03807252742337,"CA",28.6666666666667,"2022-06-06",2
"0622_B","H","1","APC",4.98266107975668,"CA",28.0833333333333,"2022-06-13",2
"0622_B","H","2","APC",4.51746263896976,"CA",28.0833333333333,"2022-06-13",2
"0622_B","H","3","APC",4.17469090899824,"CA",28.0833333333333,"2022-06-13",2
"0622_B","H","1","GN",3.16873655971897,"CA",28.0833333333333,"2022-06-13",2
"0622_B","H","2","GN",3.82432217829446,"CA",28.0833333333333,"2022-06-13",2
"0622_B","H","3","GN",2.89019535024399,"CA",28.0833333333333,"2022-06-13",2
"0622_B","H","1","PC",4.87293909098866,"CA",28.0833333333333,"2022-06-13",2
"0622_B","H","2","PC",4.25889108232866,"CA",28.0833333333333,"2022-06-13",2
"0622_B","H","3","PC",3.61812905051533,"CA",28.0833333333333,"2022-06-13",2
"0722_A","H","1","APC",5.96965144684286,"CA",27.5,"2022-07-11",2
"0722_A","H","2","APC",5.07095742530503,"CA",27.5,"2022-07-11",2
"0722_A","H","3","APC",5.10227799970339,"CA",27.5,"2022-07-11",2
"0722_A","H","1","GN",5.04269797834437,"CA",27.5,"2022-07-11",2
"0722_A","H","2","GN",4.16458972855185,"CA",27.5,"2022-07-11",2
"0722_A","H","3","GN",4.65481293796174,"CA",27.5,"2022-07-11",2
"0722_A","H","1","PC",5.70962305618289,"CA",27.5,"2022-07-11",2
"0722_A","H","2","PC",4.9744553921127,"CA",27.5,"2022-07-11",2
"0722_A","H","3","PC",5.24818675010461,"CA",27.5,"2022-07-11",2
"0822_A","H","1","APC",5.5299703447191,"CA",28.5,"2022-08-08",2
"0822_A","H","2","APC",5.26027421301693,"CA",28.5,"2022-08-08",2
"0822_A","H","3","APC",5.24059879516822,"CA",28.5,"2022-08-08",2
"0822_A","H","1","GN",4.98226801571373,"CA",28.5,"2022-08-08",2
"0822_A","H","2","GN",4.37677978208837,"CA",28.5,"2022-08-08",2
"0822_A","H","3","GN",4.47560899084255,"CA",28.5,"2022-08-08",2
"0822_A","H","1","PC",5.22773229686615,"CA",28.5,"2022-08-08",2
"0822_A","H","2","PC",4.78315295829727,"CA",28.5,"2022-08-08",2
"0822_A","H","3","PC",4.87484346986759,"CA",28.5,"2022-08-08",2
"0922_A","H","1","APC",5.4556429184262,"CA",31,"2022-09-12",4
"0922_A","H","2","APC",5.74864647072553,"CA",31,"2022-09-12",4
"0922_A","H","3","APC",5.1406961894083,"CA",31,"2022-09-12",4
"0922_A","H","1","GN",4.56478738785127,"CA",31,"2022-09-12",4
"0922_A","H","2","GN",5.29119865147086,"CA",31,"2022-09-12",4
"0922_A","H","3","GN",4.53303232056234,"CA",31,"2022-09-12",4
"0922_A","H","1","PC",4.34649844900113,"CA",31,"2022-09-12",4
"0922_A","H","2","PC",4.75216304444837,"CA",31,"2022-09-12",4
"0922_A","H","3","PC",4.56561968776593,"CA",31,"2022-09-12",4
"0922_B","H","1","APC",5.1575073913751,"CA",76.5,"2022-09-26",2
