"sampling_code","day","sample_replicate","test","log_conc","loc","days_since_last_irrigation","hr_harvest_packaging","hr_harvest_arrival","hr_arrival_packaging"
"0122_B","22","3","PC",8.1407750979326,"AZ",3,97.5,58.35,39.15
"0222_A","2","1","APC",5.03701857041635,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","2","2","APC",4.74439436637767,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","2","3","APC",5.34607904014958,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","2","1","GN",5.10665449855775,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","2","2","GN",4.51031116034431,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","2","3","GN",5.07085630809188,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","2","1","PC",5.37426073873478,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","2","2","PC",4.89566204170832,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","2","3","PC",6.03245991717758,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","7","1","APC",6.96749205544293,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","7","2","APC",6.90305154716314,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","7","3","APC",6.82331044497956,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","7","1","GN",6.85866727280588,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","7","2","GN",6.6994392144562,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","7","3","GN",6.5757562951283,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","7","1","PC",7.34150301104997,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","7","2","PC",7.70267419762171,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","7","3","PC",7.39674227233343,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","12","1","APC",6.86537773804767,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","12","2","APC",7.1840567976804,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","12","3","APC",7.66976893674346,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","12","1","GN",6.46881863509202,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","12","2","GN",6.93699125971106,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","12","3","GN",7.3136202314145,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","12","1","PC",7.34157594357415,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","12","2","PC",7.54723470009322,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","12","3","PC",7.95743497084946,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","17","1","APC",8.21469466159479,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","17","2","APC",8.35658380917556,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","17","3","APC",8.09313395661426,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","17","1","GN",7.92113123061616,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","17","2","GN",7.8658471923225,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","17","3","GN",7.34949355735878,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","17","1","PC",8.77942228375797,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","17","2","PC",9.18582138362494,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","17","3","PC",8.66388751458075,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","22","1","APC",8.79054974739353,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","22","2","APC",8.18088713659529,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","22","3","APC",8.19652699973588,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","22","1","GN",8.52170443510095,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","22","2","GN",7.98459249145132,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","22","3","GN",7.57651269250349,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","22","1","PC",9.33366224794379,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","22","2","PC",8.8009480945052,"AZ",7,220,64.9333333333333,155.066666666667
"0222_A","22","3","PC",8.75820782907717,"AZ",7,220,64.9333333333333,155.066666666667
"0222_B","2","1","APC",4.94060819387047,"AZ",1,281.25,86,195.25
"0222_B","2","2","APC",5.42464066570085,"AZ",1,281.25,86,195.25
"0222_B","2","3","APC",5.073613887212,"AZ",1,281.25,86,195.25
"0222_B","2","1","GN",4.64477939189229,"AZ",1,281.25,86,195.25
"0222_B","2","2","GN",5.3697919976935,"AZ",1,281.25,86,195.25
"0222_B","2","3","GN",4.77099014854146,"AZ",1,281.25,86,195.25
"0222_B","2","1","PC",5.24424657264198,"AZ",1,281.25,86,195.25
"0222_B","2","2","PC",6.01172350105916,"AZ",1,281.25,86,195.25
"0222_B","2","3","PC",5.0998492380702,"AZ",1,281.25,86,195.25
