"sampling_code","sample_name","test","plating_replicate","count"
"0922_A","D22_NC","PC",NA,0
"0922_B","H_NC","APC",NA,0
"0922_B","H_NC","GN",NA,0
"0922_B","H_NC","PC",NA,0
"0922_B","DI_NC","APC",NA,0
"0922_B","DI_NC","GN",NA,0
"0922_B","DI_NC","PC",NA,0
"0922_B","D7_NC","APC",NA,0
"0922_B","D7_NC","GN",NA,0
"0922_B","D7_NC","PC",NA,0
"0922_B","D12_NC","APC",NA,1
"0922_B","D12_NC","GN",NA,0
"0922_B","D12_NC","PC",NA,0
"0922_B","D17_NC","APC",NA,0
"0922_B","D17_NC","GN",NA,0
"0922_B","D17_NC","PC",NA,0
"0922_B","D22_NC","APC",NA,0
"0922_B","D22_NC","GN",NA,0
"0922_B","D22_NC","PC",NA,0
"1022_A","H_NC","APC",NA,0
"1022_A","H_NC","GN",NA,0
"1022_A","H_NC","PC",NA,0
"1022_A","DI_NC","APC",NA,0
"1022_A","DI_NC","GN",NA,0
"1022_A","DI_NC","PC",NA,0
"1022_A","D7_NC","APC",NA,0
"1022_A","D7_NC","GN",NA,0
"1022_A","D7_NC","PC",NA,0
"1022_A","D12_NC","APC",NA,0
"1022_A","D12_NC","GN",NA,0
"1022_A","D12_NC","PC",NA,0
"1022_A","D17_NC","APC",NA,0
"1022_A","D17_NC","GN",NA,0
"1022_A","D17_NC","PC",NA,0
"1022_A","D22_NC","APC",NA,0
"1022_A","D22_NC","GN",NA,0
"1022_A","D22_NC","PC",NA,0
"1022_B","H_NC","APC",NA,0
"1022_B","H_NC","GN",NA,0
"1022_B","H_NC","PC",NA,0
"1022_B","DI_NC","APC",NA,0
"1022_B","DI_NC","GN",NA,0
"1022_B","DI_NC","PC",NA,0
"1022_B","D7_NC","APC",NA,0
"1022_B","D7_NC","GN",NA,0
"1022_B","D7_NC","PC",NA,0
"1022_B","D12_NC","APC",NA,0
"1022_B","D12_NC","GN",NA,0
"1022_B","D12_NC","PC",NA,0
"1022_B","D17_NC","APC",NA,0
"1022_B","D17_NC","GN",NA,0
"1022_B","D17_NC","PC",NA,0
"1022_B","D22_NC","APC",NA,0
"1022_B","D22_NC","GN",NA,0
"1022_B","D22_NC","PC",NA,0
"1122_A","DI_NC","APC",NA,0
"1122_A","DI_NC","GN",NA,0
"1122_A","DI_NC","PC",NA,0
"1122_A","D7_NC","APC",NA,0
"1122_A","D7_NC","GN",NA,0
"1122_A","D7_NC","PC",NA,0
"1122_A","D12_NC","APC",NA,0
"1122_A","D12_NC","GN",NA,0
"1122_A","D12_NC","PC",NA,0
"1122_A","D17_NC","APC",NA,0
"1122_A","D17_NC","GN",NA,0
"1122_A","D17_NC","PC",NA,0
"1122_A","D22_NC","APC",NA,0
"1122_A","D22_NC","GN",NA,0
"1122_A","D22_NC","PC",NA,0
"1122_B","D7_NC","APC",NA,0
"1122_B","D7_NC","GN",NA,0
"1122_B","D7_NC","PC",NA,0
"1122_B","D12_NC","APC",NA,0
"1122_B","D12_NC","GN",NA,0
"1122_B","D12_NC","PC",NA,0
"1122_B","D17_NC","APC",NA,0
"1122_B","D17_NC","GN",NA,0
"1122_B","D17_NC","PC",NA,0
"1122_B","D22_NC","APC",NA,0
"1122_B","D22_NC","GN",NA,0
"1122_B","D22_NC","PC",NA,0
"1222_A","H_NC","APC",NA,0
"1222_A","H_NC","GN",NA,0
"1222_A","H_NC","PC",NA,0
"1222_A","DI_NC","APC",NA,0
"1222_A","DI_NC","GN",NA,0
"1222_A","DI_NC","PC",NA,0
"1222_A","D7_NC","APC",NA,0
"1222_A","D7_NC","GN",NA,0
"1222_A","D7_NC","PC",NA,0
"1222_A","D12_NC","APC",NA,0
"1222_A","D12_NC","GN",NA,0
"1222_A","D12_NC","PC",NA,0
"1222_A","D17_NC","APC",NA,0
"1222_A","D17_NC","GN",NA,0
"1222_A","D17_NC","PC",NA,0
"1222_A","D22_NC","APC",NA,0
"1222_A","D22_NC","GN",NA,0
"1222_A","D22_NC","PC",NA,0
"1222_B","H_NC","APC",NA,0
"1222_B","H_NC","GN",NA,0
"1222_B","H_NC","PC",NA,0
"1222_B","DI_NC","APC",NA,0
"1222_B","DI_NC","GN",NA,0
"1222_B","DI_NC","PC",NA,0
"1222_B","D7_NC","APC",NA,0
"1222_B","D7_NC","GN",NA,0
"1222_B","D7_NC","PC",NA,0
"1222_B","D12_NC","APC",NA,0
"1222_B","D12_NC","GN",NA,0
"1222_B","D12_NC","PC",NA,0
"1222_B","D17_NC","APC",NA,0
"1222_B","D17_NC","GN",NA,0
"1222_B","D17_NC","PC",NA,0
"1222_B","D22_NC","APC",NA,0
"1222_B","D22_NC","GN",NA,0
"1222_B","D22_NC","PC",NA,0
"1222_C","H_NC","APC",NA,0
"1222_C","H_NC","GN",NA,0
"1222_C","H_NC","PC",NA,0
