"qseqid","genus"
"s12-0797","Pseudomonas"
"s12-0798","Pseudomonas"
"s12-0799","Erwinia"
"s12-0800","Pseudomonas"
"s12-0801","Pseudomonas"
"s12-0802","Pseudomonas"
"s12-0803","Pseudomonas"
"s12-0804","Pseudomonas"
"s12-0805","Pseudarthrobacter"
"s12-0806","Pseudomonas"
"s12-0807","Pseudomonas"
"s12-0808","Pantoea"
"s12-0809","Pseudomonas"
"s12-0810","Pseudomonas"
"s12-0811","Enterobacterales"
"s12-0812","Pseudomonas"
"s12-0813","Pseudomonas"
"s12-0814","Pseudomonas"
"s12-0815","Pseudomonas"
"s12-0816","Pseudomonas"
"s12-0817","Pantoea"
"s12-0818","Pseudomonas"
"s12-0819","Exiguobacterium"
"s12-0820","Pseudomonas"
"s12-0821","Pseudomonas"
"s12-0822","Pseudomonas"
"s12-0823","Pantoea"
"s12-0824","Pseudomonas"
"s12-0825","Pseudomonas"
"s12-0826","Pseudomonas"
"s12-0827","Pseudomonas"
"s12-0828","Pseudomonas"
"s12-0829","Pantoea"
"s12-0830","Pantoea"
"s12-0831","Pantoea"
"s12-0832","Pantoea"
"s12-0833","Stenotrophomonas"
"s12-0834","Pantoea"
"s12-0835","Erwinia"
"s12-0836","Stenotrophomonas"
"s12-0837","Pantoea"
"s12-0838","Stenotrophomonas"
"s12-0839","Stenotrophomonas"
"s12-0840","Pseudomonas"
"s12-0841","Stenotrophomonas"
"s12-0842","Pantoea"
"s12-0843","Pantoea"
"s12-0844","Pseudomonas"
"s12-0845","Pseudomonas"
"s12-0846","Pantoea"
"s12-0847","Pseudomonas"
"s12-0848","Pantoea"
"s12-0849","Pseudomonas"
"s12-0850","Pseudomonas"
"s12-0851","Pantoea"
"s12-0852","Pantoea"
"s12-0853","Erwinia"
"s12-0854","Pantoea"
"s12-0855","Pantoea"
"s12-0856","Pseudomonas"
"s12-0857","Pantoea"
"s12-0858","Exiguobacterium"
"s12-0859","Pantoea"
"s12-0860","Pantoea"
"s12-0861","Pantoea"
"s12-0862","Pantoea"
"s12-0863","Pseudomonas"
"s12-0864","Pantoea"
"s12-0865","Pantoea"
"s12-0866","Pantoea"
"s12-0867","Pantoea"
"s12-0868","Erwinia"
"s12-0869","Pseudomonas"
"s12-0870","Pseudomonas"
"s12-0871","Pseudomonas"
"s12-0872","Erwinia"
"s12-0873","Pseudomonas"
"s12-0874","Pseudomonas"
"s12-0875","Pantoea"
"s12-0876","Pseudomonas"
"s12-0877","Pseudomonas"
"s12-0880","Pantoea"
"s12-0881","Pseudomonas"
"s12-0888","Pseudomonas"
"s12-0890","Erwinia"
"s12-0891","Pseudomonas"
"s12-0892","Pseudomonas"
"s12-0893","Pseudomonas"
"s12-0894","Pseudomonas"
"s12-0895","Pseudomonas"
"s12-0897","Pseudomonas"
"s12-0899","Pseudomonas"
"s12-0900","Pseudomonas"
"s12-0901","Pseudomonas"
"s12-0903","Pseudomonas"
"s12-0904","Pantoea"
"s12-0905","Pantoea"
"s12-0907","Pseudomonas"
"s12-0908","Pseudomonas"
"s12-0909","Erwinia"
"s12-0910","Pseudomonas"
"s12-0911","Erwinia"
"s12-0912","Pseudomonas"
"s12-0913","Pseudomonas"
"s12-0914","Carnobacterium"
"s12-0915","Shewanella"
"s12-0916","Pseudomonas"
"s12-0917","Serratia"
"s12-0918","Pseudomonas"
"s12-0919","Pantoea"
"s12-0920","Pseudomonas"
"s12-0921","Pantoea"
"s12-0922","Pseudomonas"
"s12-0923","Pseudomonas"
"s12-0924","Pseudomonas"
"s12-0925","Pseudomonas"
"s12-0926","Pseudomonas"
"s12-0927","Erwinia"
"s12-0928","Pseudomonas"
"s12-0929","Peribacillus"
