Sampling_code,Date_Time_of_arrival,Date_Time_of_testing,Date_Time_of_incubation,Sample_Name,Sample_Mass_g,Buffer_Volume_mL,Total_Bag_Mass,Bag_Mass,Notes
0222_B,"2022_03_03, 10:50AM","2022_03_18, ~2:00PM","2022_03_18, ~4:15PM",D17_1,24.79,209.1,36.85,12.06,
0222_B,"2022_03_03, 10:50AM","2022_03_18, ~2:00PM","2022_03_18, ~4:15PM",D17_2,25.81,198.62,37.84,12.03,
0222_B,"2022_03_03, 10:50AM","2022_03_18, ~2:00PM","2022_03_18, ~4:15PM",D17_3,25.18,198.38,37.19,12.01,
0222_B,"2022_03_03, 10:50AM","2022_03_23, 12:00PM","2022_03_23, time not recorded",D22_1,24.61,204.11,36.63,12.02,
0222_B,"2022_03_03, 10:50AM","2022_03_23, 12:00PM","2022_03_23, time not recorded",D22_2,24.6,212.47,36.66,12.06,
0222_B,"2022_03_03, 10:50AM","2022_03_23, 12:00PM","2022_03_23, time not recorded",D22_3,25.25,200.75,37.3,12.05,
0222_B,NA,"2022_03_23, 12:00PM","2022_03_23, time not recorded",D22_NC,0,200.76,,,
0322_A,"2022_03_08, 10:25AM","2022_03_08, 11:15AM","2022_03_08, 12:30PM",H_1,25.23,211.83,,,~3mL of buffer spilled out during stomaching 
0322_A,"2022_03_08, 10:25AM","2022_03_08, 11:15AM","2022_03_08, 12:30PM",H_2,25.77,197.74,,,~2mL of buffer spilled out during stomaching 
0322_A,"2022_03_08, 10:25AM","2022_03_08, 11:15AM","2022_03_08, 12:30PM",H_3,25.45,198.95,,,
0322_A,"2022_03_18, 10:30AM","2022_03_18, 12:00PM","2022_03_18, 1:50PM",DI_1,25.78,198.82,37.81,12.03,
0322_A,"2022_03_18, 10:30AM","2022_03_18, 12:00PM","2022_03_18, 1:50PM",DI_2,26.14,202.98,38.21,12.07,
0322_A,"2022_03_18, 10:30AM","2022_03_18, 12:00PM","2022_03_18, 1:50PM",DI_3,26.73,199.32,38.84,12.11,
0322_A,"2022_03_18, 10:30AM","2022_03_23, 2:15PM","2022_03_23, 4:30PM",D7_1,25.5,203.48,37.52,12.02,
0322_A,"2022_03_18, 10:30AM","2022_03_23, 2:15PM","2022_03_23, 4:30PM",D7_2,25.07,202.84,37.2,12.13,
0322_A,"2022_03_18, 10:30AM","2022_03_23, 2:15PM","2022_03_23, 4:30PM",D7_3,26.1,198.58,38.12,12.02,
0322_A,NA,"2022_03_23, 2:15PM","2022_03_23, 4:30PM",D7_NC,0,201.03,,,
0322_A,"2022_03_18, 10:30AM","2022_03_28, 12:30PM","2022_03_28, 2:30PM",D12_1,26.42,204.97,38.48,12.06,
0322_A,"2022_03_18, 10:30AM","2022_03_28, 12:30PM","2022_03_28, 2:30PM",D12_2,25.6,199.34,37.7,12.1,
0322_A,"2022_03_18, 10:30AM","2022_03_28, 12:30PM","2022_03_28, 2:30PM",D12_3,25.49,218.91,37.6,12.11,
